id,date,datetime,platform,scene_cloud,mean_C,median_C,q10_C,q90_C,min_C,max_C,valid_pixels,valid_fraction,file,source
LC09_L2SP_197024_20250612_02_T1,2025-06-12,2025-06-12T10:27:12.496995Z,landsat-9,0.24,31.017888773387565,31.127229690551758,25.463571548461914,36.3431282043457,20.596311569213867,55.04311752319336,452132,0.5285039988591387,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250612_lc09_l2sp_197024_20250612_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20250519_02_T1,2025-05-19,2025-05-19T10:27:06.496204Z,landsat-8,7.34,29.818259224622278,30.187274932861328,22.616361618041992,36.11753845214844,14.587431907653809,49.085506439208984,261018,0.3051079259468798,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250519_lc08_l2sp_197024_20250519_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20250519_02_T1,2025-05-19,2025-05-19T10:27:30.387244Z,landsat-8,15.76,29.78097863371124,30.112077713012695,22.729154586791992,36.03550720214844,14.765169143676758,48.890682220458984,246681,0.28316707800034435,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250519_lc08_l2sp_197025_20250519_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20250512_02_T1,2025-05-12,2025-05-12T10:20:53.419654Z,landsat-8,0.08,30.27168174258432,30.060808181762695,24.571468353271484,36.00816345214844,20.124624252319336,55.65494155883789,121496,0.14201852964486017,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250512_lc08_l2sp_196024_20250512_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20240829_02_T1,2024-08-29,2024-08-29T10:21:14.916901Z,landsat-8,16.67,29.185424865233003,29.155033111572266,22.975252151489258,35.93980407714844,12.762208938598633,51.303802490234375,31739,0.0371002017547756,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240829_lc08_l2sp_196024_20240829_02_t1_LST_C.tif,local_existing
LC09_L2SP_196025_20250520_02_T1,2025-05-20,2025-05-20T10:21:24.671977Z,landsat-9,27.94,29.727393104780848,29.883071899414062,23.180334091186523,35.75864791870117,18.217369079589844,44.61132049560547,48868,0.057122551414738154,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250520_lc09_l2sp_196025_20250520_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20250511_02_T1,2025-05-11,2025-05-11T10:27:40.938419Z,landsat-9,0.01,30.327504578506893,30.74099349975586,24.51336097717285,35.512550354003906,18.692474365234375,53.4332275390625,397351,0.4561223669861677,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250511_lc09_l2sp_197025_20250511_02_t1_LST_C.tif,local_existing
LC09_L2SP_197024_20250511_02_T1,2025-05-11,2025-05-11T10:27:17.055874Z,landsat-9,0.13,30.119776971981803,30.467552185058594,24.32537078857422,35.440773010253906,18.736907958984375,53.4400634765625,450458,0.5265472346971457,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250511_lc09_l2sp_197024_20250511_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20230810_02_T1,2023-08-10,2023-08-10T10:27:50.720541Z,landsat-9,0.01,29.768603618567607,29.971939086914062,23.809249877929688,34.76742172241211,21.25598907470703,56.09928512573242,418902,0.48086093095333754,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230810_lc09_l2sp_197025_20230810_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20240609_02_T1,2024-06-09,2024-06-09T10:27:24.097345Z,landsat-9,9.14,28.477496075928418,28.772214889526367,21.505504608154297,34.593101501464844,17.506420135498047,55.337066650390625,373022,0.4281949147678356,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240609_lc09_l2sp_197025_20240609_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20250807_02_T1,2025-08-07,2025-08-07T10:28:03.436031Z,landsat-8,11.7,29.304901122803482,29.496835708618164,23.802413940429688,34.470054626464844,2.7029762268066406,54.60902786254883,343825,0.394679446708374,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250807_lc08_l2sp_197025_20250807_02_t1_LST_C.tif,local_existing
LC09_L2SP_197024_20240609_02_T1,2024-06-09,2024-06-09T10:27:00.223274Z,landsat-9,29.56,28.154263658533093,28.314199447631836,21.1192684173584,34.411949157714844,17.311594009399414,55.316558837890625,433251,0.5064337096461226,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240609_lc09_l2sp_197024_20240609_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20240820_02_T1,2024-08-20,2024-08-20T10:27:49.254347Z,landsat-8,5.28,29.75950149308115,30.026628494262695,24.704771041870117,34.22053909301758,12.916020393371582,52.5889778137207,368608,0.42312804913045976,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240820_lc08_l2sp_197025_20240820_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20240820_02_T1,2024-08-20,2024-08-20T10:27:25.376014Z,landsat-8,12.6,29.492203617696877,29.80445671081543,24.39031410217285,34.12825393676758,12.987798690795898,52.5650520324707,428490,0.5008685040456158,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240820_lc08_l2sp_197024_20240820_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20220723_02_T1,2022-07-23,2022-07-23T10:21:49.382396Z,landsat-8,19.86,29.448799377729433,29.41822052001953,24.215993881225586,34.10090637207031,18.44295883178711,55.326812744140625,108497,0.12682380005002958,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220723_lc08_l2sp_196024_20220723_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20230623_02_T1,2023-06-23,2023-06-23T10:27:23.685541Z,landsat-9,15.67,28.89016984846866,28.45092010498047,24.30144500732422,33.86506271362305,20.555294036865234,46.16993713378906,92416,0.10608505997818975,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230623_lc09_l2sp_197025_20230623_02_t1_LST_C.tif,local_existing
